Tamanho Hairpin sem Loop,Entropia_HP_S_Loop,HP_S_Loop_state_change,GC_Inicial_Hairpin
0.2857,0.8821,0.4688,0.3333
0.2857,0.8821,0.3438,0.5833
0.2857,0.8821,0.4688,0.5
0.2857,0.8821,0.4688,0
0.2857,0.8821,0.4688,0.1667
0.2857,0.7517,0.4062,0.6667
0.2857,0.7517,0.4062,0.0833
0.2857,0.7517,0.4062,0.5
0.2857,0.7517,0.4062,0.3333
0.2857,0.7517,0.4062,0.25
0.2857,0.7517,0.4062,0.1667
0.2857,0.7517,0.4062,0
0.2857,0.7517,0.4062,0.5833
0.2857,0.7517,0.3438,0.6667
0.2857,0.7517,0.3438,0
0.2857,0.7517,0.4688,0.0833
0.2857,0.7517,0.4688,0.25
0.2857,0.7517,0.4062,0.4167
0.2857,0.7517,0.4688,0.5833
0.2857,0.7517,0.4688,0.4167
0.2857,0.5,0.3438,0.75
0.2857,0.5,0.2812,0.75
0.2857,0.7517,0.4688,0.6667
0.2857,0.7517,0.4688,0.5
0.2857,0.7517,0.4688,0.1667
0.2857,0.7517,0.4688,0
0.2857,0.7517,0.4688,0.3333
0.2857,0.5,0.4688,0.75
0.2857,0.5,0.4062,0.75
0.2857,0.5,0.0312,0
0.2857,0.5,0.0938,0
0.2857,0.9956,0.4062,0.3333
0.2857,0.9956,0.4688,0.25
0.2857,0.9956,0.3438,0.4167
0.2857,0.9956,0.4062,0.4167
0.2857,0.9956,0.4688,0.3333
0.2857,0.9591,0.4688,0.4167
0.2857,0.9591,0.4062,0.5
0.2857,0.9591,0.4688,0.5
0.2857,0.8821,0.4688,0.5833
0.2857,0.5,0.1562,0
0.2857,0.5,0.2188,0
0.2857,0.9956,0.4688,0.4167
0.2857,0.5,0.2812,0
0.2857,0.5,0.3438,0
0.2857,0.5,0.4062,0
0.2857,0.5,0.4688,0
0.3333,0.5,0,0
0.3333,0.7345,0.0312,0.0833
0.3333,0.7345,0.0312,0
0.3333,0.7345,0.0938,0
0.3333,0.8609,0.0312,0.1667
0.3333,0.8609,0.0312,0
0.3333,0.8609,0.0938,0
0.3333,0.8609,0.2188,0
0.3333,0.8609,0.0938,0.0833
0.3333,0.8609,0.1562,0.0833
